,index,Review,Rating
26,26,ที่พักใกล้ BTS เดินทางสะดวก คุ้มค่ากับราคา แต่สิ่งอำนวยความสะดวกน้อยไป,7.6
27,27,ห้องขนาดกระทัดรัด แต่เครื่องอํานวยสะดวกครบ เตียงนอนสบายมากๆ ทําเลดีเยี่ยม อาหารเช้าหลากหลาย รสชาดดี พนักงานในห้องอาหารบริการลูกค้าดีมากๆ เสียตรงที่ทีวีในห้องดูไม่ได้ พนักงานหน้าfront ตอนcheck out ช่วงเที่ยง ดูเหนื่อยล้า ไม่ยิ้มแย้ม หรือแม้แต่กล่าวขอบคุณ,4.0
28,28,แม่บ้าน ลืมวางผ้าเช็ดเท้า ต้องตาม Room service ตามนานไปหน่อย ตามถึง2รอบ โดยรวมดีค่ะ,8.8
29,29,อ่านรีวิวของคนอื่นมาเยอะ เลยไม่คาดหวังกับที่พักที่นี่มาก แต่พอมาพักเองแล้วผิดคาดสุดๆ ทุกอย่างดีเกินความคาดหวังมากๆ ดีจนอยากกลับมาพักอีก และแนะนำให้เพื่อนๆ มาพักด้วย,10.0
30,30,ห้องพักสะอาด ที่นอนนุ่มหลับสบายย 😊,10.0
31,31,ห้องเล็กมาก แต่อาหารเช้าอร่อย ไม่มีแปรงสีฟันให้ แต่ด้านล่างมี 7-11 ผ้าห่มมีรอย ห้องไม่เก็บเสียง,8.4
32,32,เดินทางสะดวกสุดๆ เคนมาพักประจำ รอบนี้พาเพื่อนมาพักด้วย เพื่อนชอบมากๆ ใกล้ทุกๆอย่างสะดวกสุดๆ ห้องพักก็ดีแอร์เย็นฉ่ำ,10.0
33,33,ที่พักสะอาด สะดวกสบาย พนักงานบริการดี ใช้บริการบ่อยทุกครั้งเลยค่ะ,10.0
34,34,ขอบคุณครับ,6.4
35,35,เป็นตัวเลือกต้นๆเลยเวลามากรุงเทพ ห้องเล็กตามสไตล์ไอบิส แต่ทำเลถือว่าดีมาก ใกล้ทุกสิ่งอย่าง,10.0
36,36,ห้องพักสะอาด ใกล้แหล่งช็อปปิ้ง หน้าล็อบบี้มีเซเว่นด้วย สะดวกมากๆ พนักงานคล่องแคล่ว บริการดี แนะนำครับ,10.0
37,37,ทำเลดีมาก หากคุณมาพักเพื่อไปทำธุระ หรือเที่ยว ช้อปปิ้ง ย่าน Siam ที่นี่ใกล้ Siam Discovery MBK Center Donki Siam Paragon ที่นี่ใกล้กับแหล่งที่กล่าวมามาก สามารถเดินไปได้ในระยะทางไม่กี่ร้อยเมตร ห้องพักสะอาดและสะดวกสบาย,9.6
38,38,ถ้าไม่ติดว่าห้องเล็กทุกอย่างรับได้ โดยเฉพาะพนง.ช่วงดึกขอผ้าห่มขอผ้าเช็ดตัวหรือแม้แต่สั่งอาหาร พนง.ก็พร้อมจะบริการ,10.0
39,39,อาหารเช้าบุพเฟต์ มีแต่เมนูไข่ๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,8.0
40,40,ทำเลที่ตั้งดีมากค่ะ อยู่ติดบีทีเอสเลย สะดวกสบายมากๆค่ะ แต่ว่าก็จะวุ่นวายนิดนึง เพราะตรงทางเข้าไปเช้คอินเป็นเซเว่น ดังนั้นคนจะเยอะมากๆ ตลอดเวลาเลยค่ะ ตอนเราไปเช้คอินมีคนรอประมาณ 4-5 คน แต่มีfront อยู่คนเดียว เลยช้ามากๆค่ะ ห้องก็โอเคนะคะในเรื่องของความสะอาด แต่ว่าตู้เย็นไม่เย็นเลยยย เราเอาน้ำส้มมาแช่ก็เสียค่ะ รวมถึงผนังบางมากๆๆเลยค่ะ นอนไม่ได้เลยยยย ห้องน้ำเป็นประตูปิด-เปิดแบบหนัก ทำให้เสียงดังมากๆๆๆ ห้องข้างๆเข้าห้องน้ำทั้งคืน นอนไม่ได้เลยค่ะ บวกกับฝั่งห้องที่นอน ตรงกับบีทีเอสก็เลยพอได้ยินเสียงบ้างค่ะ นอกนั้นไม่ติดอะไรค่ะ พนักงานน่ารักมาก ถ้ารีโนเวทห้องก็จะดีมากค่า,7.2
41,41,มีปลั๊ก 2 จุด ตรงมุมหน้าต่างและตรงทีวี ไกลจากเตียงมาก แถมปลั๊กยังหลวม ประตูห้องน้ำปิดไม่สนิท ปลั๊กในห้องน้ำใช้ไม่ได้จริง,5.6
42,42,ที่พักดี แต่ต้องขึ้นบีทีเอสสองต่อ,10.0
43,43,ใกล้รถไฟฟ้า สามารถเดินทางได้สะดวก หลากหลายเส้นทาง,9.6
44,44,โรงแรมทำเลที่ตั้งดี เดินไปขึ้น bts ง่าย มีพนักงานคอยให้บริการดี เรียกแท็กซี่ให้ ครั้งหน้าใช้บริการอีกค่ะ,9.6
45,45,พนง น่ารักมาก ใส่ใจมาก ห้องพักโอเคเลย ห้องน้ำแอบแคบไปหน่อยแต่ก็โอเคสะอาดมาก เดินทางง่ายๆ ติดสถานที่ท่องเที่ยวบีทีเอส แนะนำเลยค่ะ,10.0
46,46,เลือกที่นี้เพราะทำเลดี ใกล้สถานีBts ใกล้มาบุญครอง ใกล้สยาม มีเซเว่นบริการในตัว ร.ร. สะดวกสบายมากค่ะ,9.6
47,47,สะอาด เดินทางไปไหนมาไหนสะดวก,10.0
48,48,โรงแรมมีทางเดินเชื่อมต่อกับสถานีรถไฟฟ้าได้เลย,10.0
49,49,โรงแรมอยู่ใกล้สถานีรถไฟฟ้าทำให้สะดวกในการเดินทาง ห้องพักก็ดี แต่ปลั๊กไฟน้อยไปนิด โดยรวมแล้วถือว่าโอเคค่ะ,8.8
50,50,มีเซเว่นในโรงแรม สะดวกสบายมาก ห้องพักขนาดเล็ก แต่มีอุปกรณ์ครบ ทั้งตู้เย็น ตู้เซฟ กาน้ำร้อน แต่ผนังห้องบางไปหน่อย ได้ยินเสียงห้องข้างๆชัดเจนมาก,10.0
51,51,เราเป็นผู้หญิงที่เดินทางคนเดียว บีทีเอสอยู่ด้านหน้าโรงแรมเลยค่ะ สะดวกปลอดภัยมาก บางโรงแรมถึงจะอยุ่ไม่ไกลจากสถานนีบีทีเอส แต่ทางเดินมาถึงโรงแรมมันก็มืดค่ะ,2.0
52,52,สิ่งอำนวยความสะดวกครบ มี 7-11 อยู่ชั้นล่าง,8.0
53,53,ห้องเล็ก ของสะดวก ของกินพร้อม ดีมากๆเลย,10.0
54,54,ยังรีวิวไม่ได้เพราะยังไม่ได้เข้าพัก วันจริงไม่สะดวกเข้าพัก และไม่สามารถเลื่อนได้เนื่องจากจองผ่านโครงการ เราเที่ยวด้วยกัน,6.0
55,55,แคบหน่อย แต่โอเค,8.4
56,56,เข้าเช็คอินก่อนเวลาเข้าพักไม่ได้ต้องให้รอเข้าใจได้ แต่ถึงเวลาเช็คอินแล้ว ก็ไม่มีการแจ้งลูกค้าทั้งที่ก็นั่งรออยู่หน้าเคาน์เตอร์ พอถามถึงบอกว่าห้องได้แล้ว ถ้าไม่ติดตามก็คงปล่อยรอ ไม่มีความใส่ใจลูกค้าเลย,6.8
57,57,ห้องพักสบายราคาไม่แรง แนะนำค่ะ,7.6
58,58,เดินทางสะดวกติดbtsสนามกีฬา ติดmbk เดินไปสยามได้ไม่ไกล,10.0
59,59,เดินทางสะดวก มี 7-11 ในตึก,8.0
60,60,ใกล้สยาม ใกล้พารากอน ใกล้ bts เดินออกจากโรงแรม ขึ้นสะพานลอย ถึงเลย ที่จอดรถเพียงพอ แต่พนักงานอาจจะน้อยไป เพราะไปเช็คอินตอนบ่ายสองครึ่ง ยังไม่สามารถเข้าห้องได้ ต้องเปลี่ยนแพลนไปทำธุระที่อื่นก่อนถึงได้มารับคีย์การ์ดทีหลัง พนักงานกะดึกใส่ใจต่างชาติมากกว่า ไม่สนใจลูกค้าชาวไทยเลย แต่นอกนั้นบริการดีมาก,8.8
61,61,เรามาพักที่นี่บ่อยมากเพราะสะดวกและอยู่ใจกลางสยาม ติดกับมาบุญครอง ห้องพักใหม่ สะอาด ตามมาตรฐานของไอบิส ไม่มีที่ติสำหรับสิ่งอำนวยความสะดวก มีเซเว่นอยู่ในตัวโรงแรม ฉะนั้นสะดวกมากๆ ไม่ต้องกลัวจะหิวหรือลำบาก,10.0
62,62,ตอนจอง ระบุ อาหารเช้า แต่พอเข้าพัก เจ้าหน้าที่โรงแรม บอกไม่มี อาหารเช้า ยังไง คุณ AGODA หลอกลวง ลูกค้าแล้ว ุ,8.4
63,63,หีองสะอาดกำบังพอดี กับการพักกลางเมือง,8.4
64,64,รู้สึกประทับใจมากๆกับการเข้าพักครั้งนี้ ตั้งแต่พนักงานหน้าเค้าเตอร์ แม่บ้าน คนยกกระเป๋า ทุกคนบริการประทับใจมากๆเลยค่ะ ห้องพักและห้องน้ำไม่ใหญ่มากแต่ขนาดพอดีกับการพักคนเดียว ไม่ติดอะไร การเดินทางก็ง่ายมากๆ ใกล้bts สนามกีฬา ทางออก1 เดินลงบันไดมาคือเจอที่พักเลยค่ะ และใกล้กับหอศิลป์และmbk มากๆ เดินไปช้อปดองกิได้สบายๆเลยค่ะ มีบริการฝากสัมภาระที่โรงแรมได้ด้วย ถ้ามีโอกาสได้เข้ามากทมอีกจะพักที่นี่อีกแน่นอนค่ะ,10.0
65,65,ใกล้bts เดินไป สยามง่ายมากๆ มี 7-11 อยู้ชั้นล่าง,10.0
66,66,กลับมาแพง อยากให้ตรึงราคาเดิมที่ 7 ร้อยกว่าบาท,10.0
67,67,แชมพู กับสำลีก้านเล็กๆ ถ้ามีจะดีมากๆค่ะ,9.6
68,68,ทำเลที่ตั้งอยู่ติดสถานีบีทีเอสสนามกีฬาแห่งชาติ ทุ่นเวลาการเดินทางได้มาก จะนั่งบีทีเอสไปเชื่อมต่อแอร์พอร์ทลิ้งค์ไปสุวรรณภูมิก็ได้ หรือจะต่อแอร์พอร์ทบัสไปดอนเมืองก็ได้เช่นกัน และจากตัวโรงแรมเดินเข้าไปที่ใจกลางย่านสยามสแควร์ใช้เวลาไม่ถึง 5 นาที ช้อปกินเที่ยวได้สบายๆ,10.0
69,69,ห้องสะอาด ทำเลสะดวก ติดรถไฟฟ้า เข้าห้องไปเหมือนมีคนเปิดแอร์ไว้ให้แล้ว แต่ขอติเรื่องเช็คอินเช็คเอ้าใช้เวลานาน ต้องรอนานมาก,9.2
70,70,ห้องพักสะอาด ทำเลดีมากค่ะ หาของทานสะดวก เดินทางสะดวกสบาย,10.0
71,71,ห้องเล็กคับแคบมากกกกกกกกก,5.2
72,72,เดินทางสะดวก ปลอดภัย,8.0
73,73,อาหารเช้าดีสมราคา ทำเลดีมาก ห้องน้ำเล็กแต่พอเพียง แม่บ้านกว่าจะทำห้องให้เกือบบ่าย3 บอกว่าเพราะลูกค้าเยอะ ดีมีบริการฝากกระเป๋า ที่ควรปรับปรุงด่วนคือความปลอดภัย การผ่านเข้าออกลิฟท์โรงแรมคือไม่มีระบบ key card ถ้าเดินผ่านตรวจวัดอุณหภูมิเข้ามาได้คือสามารถขึ้นลิฟท์ไปถึงห้องพักได้เลยซึ่งทำให้รู้สึกไม่ปลอดภัยเท่าที่ควร,8.8
74,74,ปลั๊กน้อยไปหน่อย นอกนั้นดีมาก ทำเลดีมาก,10.0
75,75,จองไว้สามห้อง เพราะเช้าต้องมีไปทำธุระแถวสยาม กำลังจะขับรถไปเช็คอินตอน16:30 รร โทรมาบอกว่าเกิดปัญหาบางอย่างทำให้ไม่สามารถเข้าพักได้ จะขอให้ย้ายไปที่สาขาสุขุมวิท เราเลยบอกว่าตั้งใจจะพักแถวสยาม ถ้าจะพักที่สุขุมวิทก็จองสุขุมวิทแล้ว แล้วไม่มีการแจ้งล่วงหน้าใดๆ อยู่ๆดีโทรมาวันที่จะเข้าพักเลย รวมถึงไม่มีการขอโทษหรือสัมนาคุณอะไรทั้งสิ้น นับว่าแย่มากตั้งแต่เข้าพัก รร มา,4.0
76,76,1. ทำเลดีมาก เดินขึ้น BTS ได้เลย 2. ราคาค่อนข้างถูก 3. อาหารเช้า หลากหลาย และ รสชาติดีมาก 4. ขนาดห้องจะเล็กไปหน่อย แต่ก็เหมาะสมตามราคา 5. ใกล้แหล่ง เดิน เที่ยว กิน ชอปปิ้ง,10.0
77,77,14 น ตามที่แจ้งว่าสามารถเช็คอินได้ แต่เมื่อไปถึง ต้องรอประมาณ 40 นาที เนื่องจากห้องยังไม่เรียบร้อย สต๊าฟพยายามให้ความช่วยเหลือ ใกล้บีทีเอสเดินทางสะดวก ห้องน้ำแคบมาก ห้องค่อนข้างเก่าแต่สะอาดดี,7.6
78,78,ห้องพักสะอาด,10.0
79,79,อีก 2 เดือนเจอกันนะค่ะ,9.6
